"                                                             Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2023 Dollars, 2004-05 to 2023-24",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,
In 2023 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year % Change,5-Year % Change,In 2023 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year % Change,5-Year % Change,
Nebraska,1763,1866,2013,2155,2240,2294,2412,2491,2601,2675.930595684515,2763.5125893795403,2893.9837909761704,2992.792804451922,3090,3178.7440507667898,3273.60069864302,3382.9737556561086,3408.2262443438913,3499.6902757395537,3550.8565690893643,0.014620234740343685,0.11706274943174866,Nebraska,4720,5302,5229,5581,5956,6234,6600,6906,7184,7315,7335.422228145048,7607.965507432128,7893.830474899651,8290,8527.305277359765,8745.362514963826,9078.001926230576,9092.878152901061,9017.554224883566,9351.768463073851,0.037062625835732055,0.09668507915426217,Nebraska
Nevada,1590,1643,1695,1763,1921,2022,2243,2513,2700,2700,2700.0002314021453,2805.00002404011,2909.9999999999995,3220,3402.5618839816416,3561.668194963673,3736.6548042704626,3798.078291814947,3916.84132783954,4060.2417787452387,0.0366112484277723,0.19328962034747388,Nevada,2874,3019,3645,3948,4397,4543,5318,6043,6390,6387,6426.7277737838485,6661.082794152888,6910.154252721685,7330,7666.536261601554,7930.576441102757,8268.960248746884,8382.539469804595,8600.071230925181,8799.756171063806,0.023218986770780825,0.14781380675626266,Nevada
New Hampshire,4680,5184,5234,5609,5607,5892,6271,6724,6736,6734.681089145841,6512.075268559752,6512.07539683335,6532.6773596545345,6840,7095.420814479638,7097.8661493695445,7094.702931372737,7094.702931372737,7095.946322760544,7096.3645869640995,5.894410477913503e-05,0.00013301148855560108,New Hampshire,8085,8584,9127,9698,10293,11075,11946,13502,14615,14651.603355027959,14730.931238615665,15159.895036429873,15699.535638609621,16080,16558.792832732983,16906.513985357615,16976.086168504997,16990.813525969654,17094.024905136015,17170.71241515686,0.004486217286240324,0.03695435945150849,New Hampshire
New Jersey,2802,2947,3188,3387,3550,3794,3922,4111,4160,4265.967496397527,4440.511264890382,4600.013583652972,4721.107590004676,4870,5036.0162856248035,5238.295972555102,5397.352414259201,5481.966808629327,5671.838676318511,5865.675284384694,0.03417526822042816,0.16474509844778185,New Jersey,7979,8601,9331,9974,10748,11133,11649,12030,12417,12722.729334049114,13005.118961605136,13306.487437274875,13562.380400737975,13860,14183.90936704704,14549.552954041103,14413.603673154279,14962.984031530617,15479.351719349348,16261.446099392871,0.050525008684045636,0.14647137672583388,New Jersey
New Mexico,1040,1118,1102,1143,1146,1208,1325,1499,1593,1614.8488107386768,1654.2916841385556,1655.9255594178808,1714.6015412302154,1760,1841.8964119197246,1862.9585798816565,1937.081637475001,1959.0651021765973,2099.6537107550826,2134.2783245922838,0.016490630650112914,0.15873960705956458,New Mexico,3909,4247,4056,4248,4520,4786,5128,5435,5678,5960.363903794297,6155.145636607423,6405.651327989045,6635.871720116617,6920,7127.281209180817,7431.179332106231,8105.983641842445,7975.182953077916,8955.279878971256,9088.03328290469,0.014824037408943891,0.2751051931553061,New Mexico
New York,3272,3383,3460,3547,3653,3871,3961,4253,4453,4618.724961154158,4851.187216755064,5102.766817382961,5193.429287638021,5350,5494.619785682462,5579.955348720206,5677.33355149822,5746.241823547892,5745.282036551651,5896.825966751642,0.026377108945368377,0.07320000232176649,New York,4948,5006,5041,5076,5121,5740,5793,6204,6562,6926.319126317598,7293.454558430255,7645.149961535941,7710.4273007976335,7930,8159.4516539537135,8464.732593150875,8477.351475661173,8556.243771559984,8582.12735314455,8578.641364609031,-0.0004061916576244551,0.051374740415576436,New York
North Carolina,1195,1245,1257,1341,1350,1600,1776,2070,2162,2253.3378811041566,2300.124754945642,2327.0746058347686,2428.6125024244984,2440,2456.268381679948,2458.959196500725,2456.9228117539246,2484.4475010367196,2496.9418352048465,2526.103784842273,0.01167906645892458,0.02843150352917112,North Carolina,3566,3655,4067,4306,4391,4539,5323,5689,6201,6516.133481646274,6673.206767936193,6969.4274098834585,7198.922376863469,7380,7227.997575861456,7264.547054548077,7264.26652986088,7377.6322539759185,7392.310690965794,7436.823896306403,0.006021554991595401,0.028891310249236968,North Carolina
North Dakota,3000,3240,3304,3455,3837,3878,3880,3926,3969,4105.283376849435,4192.124352331607,4406.426804835924,4429.647078689632,4600,4818.032191069574,5013.256433007986,5295.396226415094,5471.243726901381,5613.114981199287,5644.070849000594,0.005514917813903786,0.17144730985029888,North Dakota,4606,5074,5512,5803,6107,6335,6569,6861,7006,7273.653115423902,7513.873171398929,7687.699531777487,7889.568747669746,8190,8669.011221681136,9271.343873517786,9650.02642833117,10089.395031473741,10374.577023627486,10418.926651210972,0.004274837179625068,0.20185871084735818,North Dakota
Ohio,3200.5874015748036,3381.0425196850397,3435.2897637795277,3515,3516,3495,3732,3953,4208,4373.591760349692,4531.153303857956,4533.76687942566,4320.992957540691,4390,4702.808142641987,4903.264282301549,4975.050414512214,5081.403009702692,5244.809384164223,5459.170260479558,0.04087105185606177,0.16083201672196124,Ohio,8236.11071472506,8340.207159552223,8444.303604379384,8462,8474,8505,9056,9448,9768,9941.55865893288,10086.709566568928,10204.648074266313,10307.231389247965,10460,10805.022787456097,11334.70648815654,11699.337940522124,12051.814752318822,12608.618536650052,13016.051320020775,0.03231383217649264,0.20462969639745077,Ohio
Oklahoma,2106,2237,2306,2486,2693,2704,2832,3024,3163,3288.148647734955,3496.5011259100734,3647.0847772458364,3959.46348733234,4150,4384.105175885349,4494.543720718106,4557.580338582141,4583.103797738066,4672.009624542584,4686.535164669908,0.003109056122448939,0.06898328772951601,Oklahoma,3535,3798,4432,4993,5641,5421,5750,6071,6403,6583,7081.627260018354,7449.698152371587,8032.083646799854,8490,8800.486964867956,8932.74745738433,9012.403971427286,9233.011366188959,9443.560541321607,9648.812168860024,0.021734559400589326,0.09639525714640906,Oklahoma
